ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),Armor (no enchants),DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,10,11,Price,ITEM NAME,PARENT,TOOLTIP
Twilight Vest,161,C,D,A,Yes,33,"""This soft vest is made of dark navy silk dusted here and there with silver, giving it an appearance very similar to a cloudless night sky. Some magic or trick of the light causes the stars to seem like they’re twinkling.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Leather Vest,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Furs,Bundle of Furs,Golden Spool,Shroud of Fear,,,Amber,,,1000,Twilight Vest,Leather Vest,
Salamander Carapace,196,C,Druid,A,Yes,35,"""This armor is formed from the heavily armored neck plating of the fiery red salamanders in Seyil. Trimmed down to even begin to fit properly on the average sized humanoid, the carapace is still burning to the touch despite not being attached to the lizard anymore.""",Using the materials you've gathered you craft together a new piece of armor!,ElderCrafts,Dracolisk Leathers,,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Bone Dust,Bone Dust,,Dragon Essence,Gold Bar,,,1000,Salamander Carapace,Dracolisk Leathers,
Wildwood Jacket,272,C,Ranger,A,Yes,37,"""A little rough around the edges and certainly dirty, the jacket otherwise appears to be in good shape. It offers good protection without looking horrible in the process.""",Using the materials you've gathered you craft together a new piece of armor!,StalkerCrafts,Thorn Thicket Vest,,Wings of Glory,Wings of Glory,Wings of Glory,Venomous Kwiksilver,Venomous Kwiksilver,,Infinite Puzzle,Sapphire,,,1000,Wildwood Jacket,Thorn Thicket Vest,
Night's Embrace,308,C,D,A,Yes,35,"""Made of velvet as dark as the blackest midnight, you could almost swear the mistress of the night has wrapped her arms around you in a comforting embrace while you wear this vest.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Twilight Vest,,Golden Spool,Golden Spool,Golden Spool,Shroud of Fear,Shroud of Fear,,Obsidian Dust,Turquoise,,,1000,Night's Embrace,Twilight Vest,
Nyx Scales,106,C,Druid,A,Yes,37,"""These scales are as dark as the night and are excessively sturdy. It is unknown where these scales come from, though their construction suggests they might come from a very powerful dragon, quite possibly residing inside the Nyx Cavern decades ago.""",Using the materials you've gathered you craft together a new piece of armor!,ElderCrafts,Salamander Carapace,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Bone Dust,Bone Dust,Bone Dust,Dragon Essence,Dragon Essence,Mithril,,,1000,Nyx Scales,Salamander Carapace,
Fabled Fox Furs,244,C,Ranger,A,Yes,39,"""Hunted to near extinction by a famous hero ranger over a century ago, the fabled fox already few in number at the time, was a magical forest creature of endless skill at eluding traps. The wearer is said to take on the fox spirit’s artful dodging and the soft hairs tickle your fancy.""",Using the materials you've gathered you craft together a new piece of armor!,StalkerCrafts,Wildwood Jacket,Wings of Glory,Wings of Glory,Wings of Glory,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Infinite Puzzle,Infinite Puzzle,Liriumite,,,1000,Fabled Fox Furs,Wildwood Jacket,
Aphotic Whispers,336,C,D,A,Yes,37,"""In the darkest depths, where not even the faintest sunlight reaches, the earth whispers to any that will listen in the purest of voices. The faint rumble, hums and buzzes of life are all around. All you need to do is listen.""",Using the materials you've gathered you craft together a new piece of armor!,CataCrafts,Night's Embrace,Golden Spool,Golden Spool,Golden Spool,Shroud of Fear,Shroud of Fear,Shroud of Fear,Obsidian Dust,Obsidian Dust,Cerussite,,,1000,Aphotic Whispers,Night's Embrace,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty Mail Armor,117,C,F,A,Yes,28,"""The rings of this mail armor are so old and rusty that they can barely hold in place. The rust has eaten away the silver color of the rings and the armor simply awaits a final blow to finish its long overdue destruction.""",,,,,,,,,,,,,,,,Rusty Mail Armor,,
Mail Armor,120,C,F,A,Yes,31,"""The mail armor consists of small metal rings linked together in a pattern to form a mesh. These rings are made out of a very resistant material that should absorb most blows.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Rusty Mail Armor,Crate of Raw Iron Ore ,,,,,,,,,,,250,Mail Armor,Rusty Mail Armor,
Sturdy Mail Armor,5,C,F,A,Yes,33,"""These mail consists of a blend of thick and thin rings, each linked together in a pattern to form a strong mesh. The rings are made entirely out of titanium and their varying sizes add to the sturdiness of this armor, especially against projectiles.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Mail Armor,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,,,,,,,,,,500,Sturdy Mail Armor,Mail Armor,
Plate Mail,114,C,F,A,Yes,35,"""The plate mail is made up of large steel plates hooked together by leather bands to allow for as much movement as possible.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Sturdy Mail Armor,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Stack of Steel Plates,,,,,,Ruby,,,500,Plate Mail,Sturdy Mail Armor,
Chivalric Chain ,193,C,Knight,A,Yes,42,"""This exquisite chain mail is made entirely out of delicate gold rings that absorb blows and magic.  It is an honor to every knight who wears this chain, as it symbolizes their initiation to knighthood.""",Using the materials you've gathered you craft together a new piece of armor!,CavalierCrafts,Plate Mail,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Stack of Steel Plates,Stack of Steel Plates,Golden Spool,Heatwave,,,Garnet,,,1000,Chivalric Chain ,Plate Mail,
Blessed Plate,225,C,Cleric,A,Yes,40,"""A dozen priests threw themselves to the ground around this armor and implored the Gods for an armor that would save them in a time of great need. The deities answered their calls and their auras imbued upon the plate will diminish the damage taken greatly.""",Using the materials you've gathered you craft together a new piece of armor!,PriestCrafts,Plate Mail,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Stack of Steel Plates,Stack of Steel Plates,Brilliant Box,Enigmatic Karma,,,Obsidian,,,1000,Blessed Plate,Plate Mail,
Jade Surcoat,221,C,Paladin,A,Yes,41,"""This surcoat is formed with multiple pieces of beautifully polished white ivory and green jade. Not only the aesthetics are impressive, but so are its defensive capabilities.""",Using the materials you've gathered you craft together a new piece of armor!,GuardianCrafts,Plate Mail,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Stack of Steel Plates,Stack of Steel Plates,Wings of Glory,Collapsed Star,,,Malachite,,,1000,Jade Surcoat,Plate Mail,
Heraldic Plate,227,C,Knight,A,Yes,44,"""This glorious plate is made out of silver and has an emblazoned heraldic crest upon the front and back of the armor. Every knight who wears this will feel more chivalrous and even braver in battle. This is the most protection anyone could ever need.""",Using the materials you've gathered you craft together a new piece of armor!,CavalierCrafts,Chivalric Chain ,,Golden Spool,Golden Spool,Golden Spool,Heatwave,Heatwave,,Scarab Hive,Diamond,,,1000,Heraldic Plate,Chivalric Chain ,
Divine Ward,331,C,Cleric,A,Yes,42,"""The ward has been stored for centuries in a concealed compartment under the sacred cathedral. Slowly picking up words and prayers by high priests, this divine ward emits a divine aura that protects the user from evil hostility.""",Using the materials you've gathered you craft together a new piece of armor!,PriestCrafts,Blessed Plate,,Brilliant Box,Brilliant Box,Brilliant Box,Enigmatic Karma,Enigmatic Karma,,Infinite Puzzle,Aquamarine,,,1000,Divine Ward,Blessed Plate,
Draconic Ensign,270,C,Paladin,A,Yes,43,"""From Runic Dragons to Dragonspire wyrms and Nyx Cavern Dragons, this armor is made out of the scales of all those creatures. The variety of scales turn this armor into an iridescent plate that manages to blend well its its surroundings, and offers the resistance of dragons.""",Using the materials you've gathered you craft together a new piece of armor!,GuardianCrafts,Jade Surcoat,,Wings of Glory,Wings of Glory,Wings of Glory,Collapsed Star,Collapsed Star,,Dragon Essence,Gold Bar,,,1000,Draconic Ensign,Jade Surcoat,
Chevalier's Glory,193,C,Knight,A,Yes,46,"""This massive golden plate is sure to blind foes due to its brilliance or because of the bearer’s sheer courageousness. The plate is exquisitely adorned with a crest made out of the finest jewels in the land and is comfortable enough to move swiftly on the battlefield.""",Using the materials you've gathered you craft together a new piece of armor!,CavalierCrafts,Heraldic Plate,Golden Spool,Golden Spool,Golden Spool,Heatwave,Heatwave,Heatwave,Scarab Hive,Scarab Hive,Naqri ,,,1000,Chevalier's Glory,Heraldic Plate,
Celestial Protection,337,C,Cleric,A,Yes,44,"""Shining with a stunning royal blue tint, it is said to have been forged within Heaven itself. In times of great danger, majestic wings spread out of the back of this armor and embrace the wearer in protection from the defying evils of Kaos. """,Using the materials you've gathered you craft together a new piece of armor!,PriestCrafts,Divine Ward,Brilliant Box,Brilliant Box,Brilliant Box,Enigmatic Karma,Enigmatic Karma,Enigmatic Karma,Infinite Puzzle,Infinite Puzzle,Mithril,,,1000,Celestial Protection,Divine Ward,
Defender's Citadel,227,C,Paladin,A,Yes,45,"""This citadel is a thick plate mail made out of titanium and mithril combined. Diamond dust is smelted into it as well, which makes sunlight reflection dance within its jewels. It seems this armor is a fortress upon itself, with its thick shoulder bracers resembling their towers and its torso an impenetrable stronghold. """,Using the materials you've gathered you craft together a new piece of armor!,GuardianCrafts,Draconic Ensign,Wings of Glory,Wings of Glory,Wings of Glory,Collapsed Star,Collapsed Star,Collapsed Star,Dragon Essence,Dragon Essence,Liriumite,,,1000,Defender's Citadel,Draconic Ensign,
Cuirass,198,C,F,A,Yes,35,"""The cuirass is formed of multiple pieces of rigid metals which cover the front of the wearer. It can withstand heavy blows and is rather comfortable to use considering its relatively heavy weight.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Sturdy Mail Armor,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Sack of Shells,,,,,,Amethyst,,,1000,Cuirass,Sturdy Mail Armor,
Glacial Cuirass,195,C,F,A,Yes,40,"""The glacial cuirass is formed with several pieces of frozen ice that mysteriously do not melt even under the strongest sun. The frozen plates absorb the heaviest of blows.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Cuirass,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Sack of Shells,Sack of Shells,Water Orb Collective,Evil Tear,,,Pearl,,,1000,Glacial Cuirass,Cuirass,
Ancient Carapace,194,C,F,A,Yes,40,"""This carapace is said to have been created in the time of the pyramids construction. The remnants of a now lost art of crafting armor from the carapace of a giant scorpion that so often made for a superb armor capable of absorbing heavy blows.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Cuirass,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Sack of Shells,Sack of Shells,Gloom Box,Bone Dust,,,Amber,,,1000,Ancient Carapace,Cuirass,
Obsidian Cuirass,197,C,F,A,Yes,40,"""This is the breastplate worn by the blackguard in the Temple of the Dawn. Although the silvery Z rune engraved on this armor does not emit the power it used to, it still can protect the wearer from various hits.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Cuirass,Crate of Raw Iron Ore ,Crate of Raw Iron Ore ,Sack of Shells,Sack of Shells,Mithril Stockpile,Crystalline Shard,,,Garnet,,,1000,Obsidian Cuirass,Cuirass,
Northern Iceplate,337,C,F,A,Yes,42,"""Crafted in the northern lands, this azure plate is made entirely of never-melting ice. Swords, daggers and arrows only seem to get stuck in its cold surface, offering great resistance by slowing down enemy movement.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Glacial Cuirass,,Water Orb Collective,Water Orb Collective,Water Orb Collective,Evil Tear,Evil Tear,,Flesh Equation,Sapphire,,,1000,Northern Iceplate,Glacial Cuirass,
Scorched Glass Mail,227,C,F,A,Yes,42,"""Found by archaeologists, it is a mystery how such an advanced pieced of armor could have been created so many centuries ago. Its exposition to sunlight has slightly melted the armor, only to have it blend with more sand and forming an added a thick layer of protection.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Ancient Carapace,,Gloom Box,Gloom Box,Gloom Box,Bone Dust,Bone Dust,,Violent Essence,Turquoise,,,1000,Scorched Glass Mail,Ancient Carapace,
Kaleidoscopic Armor,259,C,F,A,Yes,42,"""Armor mysteriously forged with the prism of a kaleidoscopic ward and a sphere of light. The blend creates a majestic armor capable of either blinding or charming the enemy with its gorgeous rays and deflect blows just as light gets deflected from this armor.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Obsidian Cuirass,,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Crystalline Shard,Crystalline Shard,,Obsidian Dust,Diamond,,,1000,Kaleidoscopic Armor,Obsidian Cuirass,
Fenrirplate,291,C,F,A,Yes,44,"""The Fenrirplate is made out of thick sheets of ice, covered by winter wolf furs. Both layers of protection prove effective enough to withstand the heaviest blows and pierces. It is said wolves will interpret the bearer of this armor as their pack leader and offer assistance in times of need.""",Using the materials you've gathered you craft together a new piece of armor!,CavernsCrafs,Northern Iceplate,Water Orb Collective,Water Orb Collective,Water Orb Collective,Evil Tear,Evil Tear,Evil Tear,Flesh Equation,Flesh Equation,Cerussite,,,1000,Fenrirplate,Northern Iceplate,
Khofu's Cofferplate,194,C,F,A,Yes,44,"""Whoever profaned Khofus pyramid and took his coffer was surely downright insane. His insanity continued when he decided to create this breastplate from the material composed in Khofus coffer. Not only can it withstand the most heavy blows, but hieroglyphic wards protects it from offensive spells.""",Using the materials you've gathered you craft together a new piece of armor!,OasisCrafts,Scorched Glass Mail,Gloom Box,Gloom Box,Gloom Box,Bone Dust,Bone Dust,Bone Dust,Violent Essence,Violent Essence,Naqri ,,,1000,Khofu's Cofferplate,Scorched Glass Mail,
Prismatic Dawnplate,225,C,F,A,Yes,44,"""This dawnplate irradiates with the limitless energy of the Dawnlords. Potently blazing runes imbued on a kaleidoscopic ward make this dawnplate resilient to pretty much any type of hostility present in the lands.""",Using the materials you've gathered you craft together a new piece of armor!,TOTDCrafts,Kaleidoscopic Armor,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Crystalline Shard,Crystalline Shard,Crystalline Shard,Obsidian Dust,Obsidian Dust,Mithril,,,1000,Prismatic Dawnplate,Kaleidoscopic Armor,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty Helmet,8,K,H,A,Yes,6,"""Dull, scratched, and covered in oxidation, this helmet may not provide you with the most protection, but its certainly better than an exposed skull.""",,,,,,,,,,,,,,,,Rusty Helmet,,
Helm,8,K,H,A,Yes,7,"""Because you’d be mad not to protect the most important of your body, you might want one of these. This helmet is of a simple design, with cheek guards, but no visor to protect the eyes.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Rusty Helmet,Crate of Raw Iron Ore,,,,,,,,,,,100,Helm,Rusty Helmet,
Steel Helmet,8,K,H,A,Yes,7,"""The helmet is heavy and solidly made. It should withstand a strong blow.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Helm,Crate of Raw Iron Ore,Crate of Raw Iron Ore,,,,,,,,,,250,Steel Helmet,Helm,
Basinet,352,K,H,A,Yes,8,"""This helmet, crafted for military purposes, is fitted with an aventail and hinged visor. It provides solid defense, even though its hard to see and gets a little too hot for comfort sometimes.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Steel Helmet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Sack of Shells,,,,,,Ruby,,,500,Basinet,Steel Helmet,
Protector Basinet,352,K,H,A,Yes,10,"""The protector basinet is a light helm of holy forging that uses two leather straps tied under the chin to secure itself. Like most religious armor pieces, it is covered with several symbols of the church and accompanying religions.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Basinet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Sack of Shells,Sack of Shells,Ironwood Burden,Spirit of the North Star,,,Amber,,,1000,Protector Basinet,Basinet,
Hydra Headgear,347,K,H,A,Yes,10,"""Fashioned from the scales of a fearsome hydra and dwarven forged steel, this headgear is sturdy enough to turn most any attack into minimal damage to the wearer.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Basinet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Sack of Shells,Sack of Shells,Dragon Soul Pack,Bone Dust,,,Garnet,,,1000,Hydra Headgear,Basinet,
Meteor Helm,108,K,H,A,Yes,10,"""Someone was wise enough to open an orifice on this meteor, which fell during the meteor shower Syndar suffered.  No one knows of what this meteor is made of, but this outer worldly material definitely proves effective armor in battle.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Basinet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Sack of Shells,Sack of Shells,Heap of Husks,Collapsed Star,,,Obsidian,,,1000,Meteor Helm,Basinet,
Crusader's Plight,185,K,H,A,Yes,13,"""Born of strife and self sacrifice, the Crusaders Plight is an heirloom of Paladin lineage lines dating back to the class founding. Though made of ordinary tempered steels and silver plating, its great advantage comes from the psychological boost the wearer takes upon suiting himself with the helm, usually feeling five times the hero he likely ever truly was.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Protector Basinet,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Spirit of the North Star,Spirit of the North Star,,Dragon Essence,Turquoise,,,1000,Crusader's Plight,Protector Basinet,
Wyrm Helm,97,K,H,A,Yes,13,"""This spectacular golden helm comes from the head of the golden dragon. As such, it provides spectacular defenses both against melee and magic. It is rumored however, that if this helm is worn for a long time, the wearer may become a dragon himself...""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Hydra Headgear,,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Bone Dust,Bone Dust,,Dragon Essence,Diamond,,,1000,Wyrm Helm,Hydra Headgear,
Astral Headgear,247,K,H,A,Yes,13,"""This peculiar headgear is as black as space itself, with brilliant pearls that resemble the firmament. These pearls create an aura that repel incoming attacks through gravitational forces.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Meteor Helm,,Heap of Husks,Heap of Husks,Heap of Husks,Collapsed Star,Collapsed Star,,Obsidian Dust,Aquamarine,,,1000,Astral Headgear,Meteor Helm,
Templar's Salvation,185,K,H,A,Yes,14,"""Here before you is a helmet of valor and symbol of salvation to the Churches of Syndar. The Templar’s Salvation is a holy relic from a time when religion held great power and cities were controlled by Bishops and Cardinals rather than mayors and Kings. A white gold cross is centered upon the forehead.""",Using the materials you've gathered you craft together a new piece of armor!,CastleCrafts,Crusader's Plight,Ironwood Burden,Ironwood Burden,Ironwood Burden,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Dragon Essence,Dragon Essence,Naqri ,,,1000,Templar's Salvation,Crusader's Plight,
Draconian Skull,287,K,H,A,Yes,14,"""Taken from the head of an elder runic dragon, the draconian skull proves to be excellent helm protection as it is stronger than any craftable metal. Placing this onto the head, the knowledge of the rune elves and ancient battle tactics are quickly at the wearer’s disposal.""",Using the materials you've gathered you craft together a new piece of armor!,DSpireCrafts,Wyrm Helm,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Bone Dust,Bone Dust,Bone Dust,Dragon Essence,Dragon Essence,Mithril,,,1000,Draconian Skull,Wyrm Helm,
Cosmic Greathelm,184,K,H,A,Yes,14,"""This astounding helm is actually a map of the universe itself! It is perpetually changing to coincide with the creation and destruction of new planets and stars. The inhabited Realms lie at some barely distinguishable sport on the map. During a meteor shower, it can be seen in real time when they are approaching.""",Using the materials you've gathered you craft together a new piece of armor!,CrystalCrafts,Astral Headgear,Heap of Husks,Heap of Husks,Heap of Husks,Collapsed Star,Collapsed Star,Collapsed Star,Obsidian Dust,Obsidian Dust,Liriumite,,,1000,Cosmic Greathelm,Astral Headgear,
Barette,294,K,H,A,Yes,8,"""This clasp, attached to the hair, is light and made out of steel. It is known to hold magical properties and deflect magical attacks. Surprisingly, it provides as good resistance as a full fledged helm.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Steel Helmet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Wrapped Gems,,,,,,Amethyst,,,1000,Barette,Steel Helmet,
Tiara of Nobility,267,K,H,A,Yes,10,"""A crown of gaudy proportions, the Tiara of Nobility is an obscene overly jeweled affair set in several interwoven wires of rare and priceless metals. Only a person of incredibly noble origin could ever afford to wear such an expensive piece.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Barette,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Wrapped Gems,Wrapped Gems,Mithril Stockpile,Crystalline Shard,,,Malachite,,,1000,Tiara of Nobility,Barette,
Gleaming Clip,279,K,H,A,Yes,10,"""This clip is exquisitely crafted with the finest silver and gleams with a strangely blinding aura. The Goddess Alustria was known to use these clips both to accent her beauty and as tools to open doors and chests.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Barette,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Wrapped Gems,Wrapped Gems,Golden Spool,Enigmatic Karma ,,,Pearl,,,1000,Gleaming Clip,Barette,
Helm of the Cross,185,K,H,A,Yes,10,"""This distinguished helm is exclusive to those who put their life at risk to aid others. It is made out of an ivory material and has an elegant cross crafted made out of ruby. This jewel mysteriously amplifies the power of healing spells.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Barette,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Wrapped Gems,Wrapped Gems,Brilliant Box,Heatwave,,,Amber,,,1000,Helm of the Cross,Barette,
Conqueror Crown,267,K,H,A,Yes,13,"""This scratched crown is constructed from a light yet sturdy alloy, and is nowhere near as luxurious as the sort worn by city dwelling nobility. This was certainly made for a warrior king, for it offers a much freer range of motion than any of its contemporaries.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Tiara of Nobility,,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Crystalline Shard,Crystalline Shard,,Violent Essence,Gold Bar,,,1000,Conqueror Crown,Tiara of Nobility,
Holy Visage,183,K,H,A,Yes,13,"""A divine helm of particularly powerful blessing, the Holy Visage is a mark of the Churchs protection and offers the strongest of dedicated scriptures in its name. One will be instantly recognized when entering any place of religious worth.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Gleaming Clip,,Golden Spool,Golden Spool,Golden Spool,Enigmatic Karma ,Enigmatic Karma ,,Infinite Puzzle,Sapphire,,,1000,Holy Visage,Gleaming Clip,
Crown of Sanctification,267,K,H,A,Yes,13,"""It is unavoidable for these crowns, after centuries of being stored in churches, to allow themselves to become sanctified. Defying time itself, the materials that make up this crown have been thoroughly blessed and constantly emit a holy aura.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Helm of the Cross,,Brilliant Box,Brilliant Box,Brilliant Box,Heatwave,Heatwave,,Scarab Hive,Turquoise,,,1000,Crown of Sanctification,Helm of the Cross,
King's Corona,267,K,H,A,Yes,14,"""This was the corona that King Gunthrow was saving for his son, the late Prince Marvin, when he was to take over the kingdom. Lost for some time, this golden corona covers the bearer’s head with exquisite cerussite, forged upon the best quality naqri from the mines of Seyil.""",Using the materials you've gathered you craft together a new piece of armor!,CastleCrafts,Conqueror Crown,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Crystalline Shard,Crystalline Shard,Crystalline Shard,Violent Essence,Violent Essence,Cerussite,,,1000,King's Corona,Conqueror Crown,
Celestial Halo,184,K,H,A,Yes,14,"""Just like an angel’s, this halo is suspended from the head of its wielder and shines with an overwhelming holy aura. Evil is weakened in its presence, as the halo is a bridge between this earthly plane and the Heavens where our Gods reside.""",Using the materials you've gathered you craft together a new piece of armor!,HolyGroundCrafts,Holy Visage,Golden Spool,Golden Spool,Golden Spool,Enigmatic Karma ,Enigmatic Karma ,Enigmatic Karma ,Infinite Puzzle,Infinite Puzzle,Naqri ,,,1000,Celestial Halo,Holy Visage,
Light Forged Barrette,213,K,H,A,Yes,14,"""This stunning barrette is made entirely out of light. This barrette forms a spectacular barrier when the wearer is struck at the head. The barrette is also known to reflect spells back to its caster, making it an exquisite combination of elegance and defense.""",Using the materials you've gathered you craft together a new piece of armor!,PriestCrafts,Crown of Sanctification,Brilliant Box,Brilliant Box,Brilliant Box,Heatwave,Heatwave,Heatwave,Scarab Hive,Scarab Hive,Mithril,,,1000,Light Forged Barrette,Crown of Sanctification,
Hood,339,K,H,A,Yes,8,"""This fashionable, yet thick, headgear covers most of the head, neck and face. Along with providing fair resistance, it prevents the wearer from being identified.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Steel Helmet,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Satchel of Scales,,,,,,Topaz,,,1000,Hood,Steel Helmet,
Thief's Hood,339,K,H,A,Yes,10,"""This simple hood is worn low to throw the face into shadow and is the best friend of most any thief. It is ample for protecting both their head and their identity from prying eyes and stray sword blows.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Hood,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Satchel of Scales,Satchel of Scales,Wings of Glory,Tormented Spirit,,,Garnet,,,1000,Thief's Hood,Hood,
Assassin's Cowl,340,K,H,A,Yes,10,"""These line of assassin cowls have been link to the most notorious assassinations in history like the demise of Victor Bronzewolf, Rucksack and Targos himself. They barely allow the assassin to be seen, concealing the true identity of the wearer behind their fabric.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Hood,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Satchel of Scales,Satchel of Scales,Satchel of Chess Pieces,Shroud of Fear,,,Obsidian,,,1000,Assassin's Cowl,Hood,
Imp Masquerade,284,K,H,A,Yes,10,"""A terribly macabre piece of equipment, this mask is all that remains of a once terrifying imp. The skull has been removed and all the fat and flesh stripped, leaving only a morbid leathery face. As it is slipped over the head, the wearer is surrounded in dark magic.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Hood,Crate of Raw Iron Ore,Crate of Raw Iron Ore,Satchel of Scales,Satchel of Scales,Mound of Abhorrent Flesh,Evil Tear,,,Malachite,,,1000,Imp Masquerade,Hood,
Traitor's Shako,291,K,H,A,Yes,13,"""This shako belonged to a high ranking official who was notorious for betraying his lord. The betrayal was so dire that this cap keeps a vivid memory of the transpired events. Evolving its malice over time, its wearer can learn how to plot the most vile of schemes.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Thief's Hood,,Wings of Glory,Wings of Glory,Wings of Glory,Tormented Spirit,Tormented Spirit,,Obsidian Dust,Diamond,,,1000,Traitor's Shako,Thief's Hood,
Betrayer's Bandana,262,K,H,A,Yes,13,"""This bandana is said to have been worn by Magnus spies when they convinced Nallyssa to kill her husband. It is a mystery how this bandana endured Targos rain of flames. The fact that it did proves that this bandana is highly resistant to magic.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Assassin's Cowl,,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Shroud of Fear,Shroud of Fear,,Flesh Equation,Aquamarine,,,1000,Betrayer's Bandana,Assassin's Cowl,
Stygian Mask ,183,K,H,A,Yes,13,"""This powerful mask is painted in a crimson color resembling blood and induces fear to those who lay eyes upon it. The wearer can often seem to transform into a creature of Styx, scaring foes and lowering their will to fight.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Imp Masquerade,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,,Flesh Equation,Gold Bar,,,1000,Stygian Mask ,Imp Masquerade,
