ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),DAM MIN (no enchants),DAM MAX (no enchants),BONUS TYPE,BONUS AMOUNT,DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,CRAFT REQ#10,11,Price,ITEM NAME,PARENT,TOOLTIP
Bloody Fang,187,A,C,A,Yes,5,12,Animal,20,"""Many are unsure what is more fearsome; the sharpness of the deadly fang, or the blood drinking thirst the dagger has developed from the monsters it has consumed and devours upon contact.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW1,Chipped Fang,,Heap of Husks,Heap of Husks,Heap of Husks,Bone Dust,Bone Dust,,Dragon Essence,Liquefied Bone,Turquoise,,1000,Bloody Fang,Chipped Fang,
Shadowpoint,344,A,C,A,Yes,5,11,Night,4,"""Swallowing all surrounding light, the Shadowpoint emits darkness for several feet in all directions. This weapon was devised to penetrate not only any enemy's armor, but the victim's very soul itself.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW1,Onyx Knife,,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,,Flesh Equation,Divinus Nox,Sapphire,,1000,Shadowpoint,Onyx Knife,
Cyclone Sickle,93,A,C,A,Yes,5,11,Storm,4,"""Made from winds that can only be likened to the raw fury of Valkyzar himself, this tool's curved and serrated blade inflicts as much damage being ripped out as it does going in.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW1,Gale Ripper,,Wings of Glory,Wings of Glory,Wings of Glory,Tormented Spirit,Tormented Spirit,,Scarab Hive,Divinus Tempus,Gold Bar,,1000,Cyclone Sickle,Gale Ripper,
Maelstrom,93,A,C,A,Yes,6,12,Storm,5,"""This arcane dirk can replicate the maelstroms opened by Valkyzar. Unavoidably, those pierced by this dagger will be sucked into a fearsome vortex and are at risk of being consumed by it for the remainder of time.""",Using the materials you've gathered you craft together a new weapon!,StormCrafts,Cyclone Sickle,Wings of Glory,Wings of Glory,Wings of Glory,Tormented Spirit,Tormented Spirit,Tormented Spirit,Scarab Hive,Scarab Hive,Divinus Tempus,Mithril,,1000,Maelstrom,Cyclone Sickle,
Amaranthine Twilight,119,A,C,A,Yes,6,12,Night,5,"""Masterfully crafted from a chunk of flawless rose-colored crystal and forged to a hilt of intricately carved silver in resemblance of amaranth flowers, this beautiful dagger's edge is sharpened to perfection. It is able to pierce almost anything while the magic enhancing the crystal prevents flaws and dulling. The flowers this dagger is styled after are said to bloom only over the final resting place of Nallyssa's mortal form.""",Using the materials you've gathered you craft together a new weapon!,NightCrafts,Shadowpoint,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,Shroud of Fear,Flesh Equation,Flesh Equation,Divinus Nox,Liriumite,,1000,Amaranthine Twilight,Shadowpoint,
Lethal Bite,300,A,C,A,Yes,6,13,Animal,30,"""Torn from the jaws of Syndar's greatest predator, the Lethal Bite is a two pronged dagger comprised of giant fangs as blades. What monster could have harbored such razor-like teeth in its maw? """,Using the materials you've gathered you craft together a new weapon!,ForestSeyilCrafts,Bloody Fang,Heap of Husks,Heap of Husks,Heap of Husks,Bone Dust,Bone Dust,Bone Dust,Dragon Essence,Dragon Essence,Liquefied Bone,Cerussite,,1000,Lethal Bite,Bloody Fang,
Untamed Flames,119,A,C,A,Yes,6,12,Fire,5,"""This stiletto's flames basks in the blood of its victims. As soon as the steel of it touches a mere drop of blood, bursting flames outrageously consume the air. Unquestionably, the flames go berserk at the taste of flesh...""",Using the materials you've gathered you craft together a new weapon!,FireCrafts,Lava Stiletto,Golden Spool,Golden Spool,Golden Spool,Heatwave,Heatwave,Heatwave,Obsidian Dust,Obsidian Dust,Divinus Igneo,Naqri ,,1000,Untamed Flames,Lava Stiletto,
Nightfall,92,A,C,A,Yes,7,14,,,"""A work of unrivaled craftsmanship, this thin bladed dagger glows with the soft silver light of the moon. The blade is carved with the pattern of the dragonrose. """,Using the materials you've gathered you craft together a new weapon!,TOTDCrafts,Meridian Stiletto,Satches of Chess Pieces,Satches of Chess Pieces,Satches of Chess Pieces,Enigmatic Karma,Enigmatic Karma,Enigmatic Karma,Infinite Puzzle,Infinite Puzzle,,Mithril,,1000,Nightfall,Meridian Stiletto,
Glacial Despair,233,A,C,A,Yes,6,12,Ice,5,"""Just as despair consumes the living soul, this dagger consumes whatever it pierces. Upon penetration, a glacial blast freezes its surrounding area, consuming it with its sheer cold. This arc breaks and immediately regenerates, ready for another frostbite.""",Using the materials you've gathered you craft together a new weapon!,IceCrafts,Chilled Incisor,Water Orb Collective,Water Orb Collective,Water Orb Collective,Collapsed Star,Collapsed Star,Collapsed Star,Infinite Puzzle,Infinite Puzzle,Divinus Aqua,Liriumite,,1000,Glacial Despair,Chilled Incisor,
Yggdrasil,96,A,C,A,Yes,6,12,Earth,5,"""This dagger plants itself upon its pierce in the form of seeds that swiftly grow into roots which inflict massive damage. Carved from crystallized leaves by the earth itself, reflections of a never-ending constantly growing tree can be witnessed within it.""",Using the materials you've gathered you craft together a new weapon!,EarthCrafts,Viridian Sickle,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Scarab Hive,Scarab Hive,Divinus Terra,Cerussite,,1000,Yggdrasil,Viridian Sickle,
Eternal Mirage,341,A,C,A,Yes,6,13,Rogue,30,"""Its blurred appearance waves and shimmers in sunlight often inducing headaches within combatants trying to focus on its blurred strikes. The weapon seem to phase into and beyond reality to the point of being nearly invisible during strikes whilst appearing and disappearing at will.""",Using the materials you've gathered you craft together a new weapon!,OasisCrafts,Saldurine Dirk,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Violent Essence,Violent Essence,Reanimated Hand ,Naqri ,,1000,Eternal Mirage,Saldurine Dirk,
Untamed Misery,294,A,C,A,Yes,6,13,Beast,30,"""A vision of suffering and internal torment, the untamed misery was once the prized and beloved possession of a woman of high royal court. She was murdered by her own dagger and it is said the blade will not forgive itself until it has avenged her death. The dagger weeps human tears after each kill.""",Using the materials you've gathered you craft together a new weapon!,CataCrafts,Beastial Skewer,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,Evil Tear,Violent Essence,Violent Essence,Pungent Pheromones ,Mithril,,1000,Untamed Misery,Beastial Skewer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusted Mace,40,A,D,A,Yes,3,6,,,"""This mace is so rusty that the wielder might have a better chance of tetanus poisoning its foe than to doing actual damage from a strike. It is bound to break at the slightest impact.""",,,,,,,,,,,,,,,50,Rusted Mace,,
Mace,1,A,D,A,Yes,4,9,,,"""An ingenious blend between axe and club, the wooden shaft is attached to a large steel weight which provides a lethal amount of blunt force trauma.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Rusted Mace,Jug of Ooze Paste,,,,,,,,,,,50,Mace,Rusted Mace,
Sturdy Mace,137,A,D,A,Yes,4,8,,,"""Having taken the mace concept further, Dwarven engineers began to design strong metal shafts with which to rest the weighted heads upon. As it makes contact with skin or bone, vibrations reverberate throughout the entire weapon. Wearing gloves would be recommended.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Mace,Jug of Ooze Paste,Jug of Ooze Paste,,,,,,,,,,100,Sturdy Mace,Mace,
Claws,179,A,D,A,Yes,5,9,,,"""The claws come from a large animal, quite possibly a feline. They are terrifyingly sharp and should be able to cause quite a few lacerations.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Sturdy Mace,Jug of Ooze Paste,Jug of Ooze Paste,Satchel of Scales,,,,,,,Topaz,,100,Claws,Sturdy Mace,
Hammer,39,A,D,A,Yes,5,9,,,"""This weapon consists of a large, solid steel head resting on a wooden handle. Swinging this weapon can cause considerable damage.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Sturdy Mace,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks ,,,,,,,Emerald,,100,Hammer,Sturdy Mace,
Club,2,A,D,A,Yes,3,5,,,"""A staple weapon of the earliest civilizations, this club isn't much more than a chunk of wood two feet in length. Primitive as it may seem, it has stood the test of time, thus proving its value as a killing tool.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Sturdy Mace,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,,,,,,,Ruby,,100,Club,Sturdy Mace,
Blackened Maul,137,A,D,A,Yes,4,9,Night,5,"""This maul is made of a strange obsidian material. It seems to absorb the energy of those who are struck by it.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Club,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Gloom Box ,Shroud of Fear,Divinus Nox,,,Pearl,,1000,Blackened Maul,Club,
Bedrock Club,218,A,D,A,Yes,4,9,Earth,5,"""This piece of dense stone has been worked by a quality mason into an exquisitely formed club. The slender shaft thickens out into a finely polished dome about the circumference of a man's skull.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Club,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Parceled Seed Sprouts,Spirit of the North Star,Divinus Terra,,,Malachite,,1000,Bedrock Club,Club,
Charged Club,233,A,D,A,Yes,4,9,Storm,5,"""This club consists of a gathering of static being held together by magic. The result is this electrifying club that may inflict paralysis upon striking.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Club,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Wings of Glory,Tormented Spirit,Divinus Tempus,,,Obsidian,,1000,Charged Club,Club,
Sacred Sceptre,279,A,Cleric,A,Yes,4,10,Evil,10,"""This sceptre is made entirely out of silver, with a pearl sitting atop its base. Two majestic cherubs are crafted upon the base of this scepter.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW2,Hammer,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Brilliant Box,Enigmatic Karma,Holy Aura,,,Garnet,,1000,Sacred Sceptre,Hammer,
Charred Hammer,124,A,D,A,Yes,4,9,Fire,5,"""Forged from a blackened piece of granite attached to an iron handle, the charred hammer seems to give off a slight heat without any visible outside source.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW2,Hammer,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Mithril Stockpile,Heatwave,Divinus Igneo,,,Amber,,1000,Charred Hammer,Hammer,
Morning Star,1,A,D,A,Yes,4,10,Greenskin,10,"""The mace's deadly brother. Encompassing the large steel mass at the end of the handle are large spikes that will assure added pain to your victims.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW2,Hammer,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Dragon Soul Pack,Venomous Kwiksilver,Crimson Reactant ,,,Pearl,,1000,Morning Star,Hammer,
Iron Talons,201,A,D,A,Yes,5,11,,,"""These talons are made entirely of iron and forged on an anvil specifically for their manufacture. The talons are later sewn into a leather glove, and are lightweight enough to move swiftly in battle.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Claws,Jug of Ooze Paste,Jug of Ooze Paste,Satchel of Scales,Satchel of Scales,Ironwood Burden,Bone Dust,,,,Malachite,,1000,Iron Talons,Claws,
Cold Nails,179,A,D,A,Yes,4,9,Ice,5,"""The claws were taken from the winter wolves in Caernelin. Due to their constant exposure to snow, they always remain cold and inflict chilling slashes.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Claws,Jug of Ooze Paste,Jug of Ooze Paste,Satchel of Scales,Satchel of Scales,Water Orb Collective,Crystalline Shard,Divinus Aqua,,,Obsidian,,1000,Cold Nails,Claws,
Cub Claws,201,A,Druid,A,Yes,4,10,Inanimate,10,"""Sharp but not very intimidating, these claws will get the job done, but not very much beyond that. Expect many scratches and few lacerations as a result."" ",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Claws,Jug of Ooze Paste,Jug of Ooze Paste,Satchel of Scales,Satchel of Scales,Heap of Husks,Collapsed Star,Tectonic Shock,,,Garnet,,1000,Cub Claws,Claws,
Great Claws,201,A,Druid,A,Yes,5,11,Inanimate,20,"""Long, sharp and fierce looking, these savage claws will rip into foes while the heavy leather gloves keep your hands warm and blood spatter-free.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW2,Cubs Claws,,Heap of Husks,Heap of Husks,Heap of Husks,Collapsed Star,Collapsed Star,,Violent Essence,Tectonic Shock,Diamond,,1000,Great Claws,Cub Claws,
Frozen Nails,201,A,D,A,Yes,5,10,Ice,10,"""A wolf skin glove with fur sewn to the inside is covered with a thick layer of permafrost that has been sharpened into rending claws.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW2,Cold Nails,,Water Orb Collective,Water Orb Collective,Water Orb Collective,Crystalline Shard,Crystalline Shard,,Dragon Essence,Divinus Aqua,Aquamarine,,1000,Frozen Nails,Cold Nails,
Steel Talons,300,A,D,A,Yes,6,12,,,"""These griffon talons have been galvanized with steel. A finishing silver touch add to the brilliancy and sharpness of these talons needed to perforate the strongest alloys.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW2,Iron Talons,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Bone Dust,Bone Dust,,Dragon Essence,,Gold Bar,,1000,Steel Talons,Iron Talons,
Barbed Cudgel,2,A,D,A,Yes,5,11,Greenskin,20,"""This cudgel has a sharp and pointy barb sticking out of its side. The barb proves to be effective against green skins and easily penetrates their skin. It is soaked in a crimson hue, likely owing to the volume of troll and goblin blood that it has liberated.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW2,Morning Star,,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Venomous Kwiksilver,Venomous Kwiksilver,,Flesh Equation,Crimson Reactant ,Sapphire,,1000,Barbed Cudgel,Morning Star,
Burning Hammer,139,A,D,A,Yes,5,10,Fire,10,"""Made out of an igneous volcanic rock, this hammer is ignited and constantly burning the air surrounding it with its flames. It is said this hammer can even ignite underwater.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW2,Charred Hammer,,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Heatwave,Heatwave,,Scarab Hive,Divinus Igneo,Turquoise,,1000,Burning Hammer,Charred Hammer,
Sanctified Sceptre,279,A,Cleric,A,Yes,5,11,Evil,20,"""Covered in a white, brilliant metal, holding this sceptre will purge the evil residing within the wielders soul. Foes will most likely see a flash of light before this scepter comes slamming down upon their skull.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW2,Sacred Sceptre,,Brilliant Box,Brilliant Box,Brilliant Box,Enigmatic Karma,Enigmatic Karma,,Infinite Puzzle,Holy Aura,Diamond,,1000,Sanctified Sceptre,Sacred Sceptre,
Lightning Club,218,A,D,A,Yes,5,10,Storm,10,"""A large, yet surprisingly light metal club with an insulated handle. Surely blessed by Valkyzar, the shaft buzzes with electrical current and discharges an almighty arc of plasma when it is swung with force.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Charged Club,,Wings of Glory,Wings of Glory,Wings of Glory,Tormented Spirit,Tormented Spirit,,Scarab Hive,Divinus Tempus,Aquamarine,,1000,Lightning Club,Charged Club,
Obsidian Club,137,A,D,A,Yes,5,10,Earth,10,"""Simple and deadly. This large club has been tirelessly cut and polished from a flawless chunk of volcanic glass. It is completely black, yet has a distinct sheen when exposed to a light source, owing to the large amount of time spent in its creation.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Bedrock Club,,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,,Obsidian Dust,Divinus Terra,Gold Bar,,1000,Obsidian Club,Bedrock Club,
Shadow Maul,137,A,D,A,Yes,5,10,Night,10,"""It is impossible to determine the precise dimensions of this maul because it is pure shadow. Nevertheless, it is crafted with an otherworldly material, and some say that material may in fact be Nallyssa's own shadowpower.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Blackened Maul,,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,,Obsidian Dust,Divinus Nox,Sapphire,,1000,Shadow Maul,Blackened Maul,
Moonstrike,192,A,D,A,Yes,6,11,Night,15,"""This maul is spherical and magically suspended from its base. The sphere is identical to a small moon, covered with craters and with its shining brilliance. When used in battle, it is as if the moon itself was striking against the enemy.""",Using the materials you've gathered you craft together a new weapon!,NightCrafts,Shadow Maul,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,Shroud of Fear,Obsidian Dust,Obsidian Dust,Divinus Nox,Cerussite,,1000,Moonstrike,Shadow Maul,
Roaring Earth,135,A,D,A,Yes,6,11,Earth,15,"""This club made out of a mysterious wood which echoes the screams of rage that all of Hommets creations hold towards the destructive biped races which often lay waste to forests and lakes.  This wrath comes crashing down when the maul is used. The club may come from one of the trees Hommet planted himself on his road to redemption.""",Using the materials you've gathered you craft together a new weapon!,EarthCrafts,Obsidian Club,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Obsidian Dust,Obsidian Dust,Divinus Terra,Liriumite,,1000,Roaring Earth,Obsidian Club,
Blitzkrieg,233,A,D,A,Yes,6,11,Storm,15,"""Legends claim a powerful mage once stopped time itself during a thunderstorm. The time casually converged with a lightning blast inches above the ground, and the mage managed to tear a piece of it to craft this magical weapon. When swung, it literally becomes lightning and thunder crashing down to the enemy.""",Using the materials you've gathered you craft together a new weapon!,StormCrafts,Lightning Club,Wings of Glory,Wings of Glory,Wings of Glory,Tormented Spirit,Tormented Spirit,Tormented Spirit,Scarab Hive,Scarab Hive,Divinus Tempus,Mithril,,1000,Blitzkrieg,Lightning Club,
Seraphim Grace,188,A,Cleric,A,Yes,6,12,Evil,30,"""A silver headed hammer shining with holy light, the Seraphim Grace draws from the divine power of its wielder to vanquish evil. Two majestic seraph wings extend from the base of this hammer, and flutter when evil draws near.""",Using the materials you've gathered you craft together a new weapon!,PriestCrafts,Sanctified Sceptre,Brilliant Box,Brilliant Box,Brilliant Box,Enigmatic Karma,Enigmatic Karma,Enigmatic Karma,Infinite Puzzle,Infinite Puzzle,Holy Aura,Naqri ,,1000,Seraphim Grace,Sanctified Sceptre,
Hellsbreath,139,A,D,A,Yes,6,11,Fire,15,"""The Hellsbreath resembles the mighty flames Targos sent on those who betrayed him. His wrath charges down at the swing of this raging hammer, just as if Targos himself has unleashed his almighty vengeance once again.""",Using the materials you've gathered you craft together a new weapon!,FireCrafts,Burning Hammer,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Heatwave,Heatwave,Heatwave,Scarab Hive,Scarab Hive,Divinus Igneo,Cerussite,,1000,Hellsbreath,Burning Hammer,
Troll Gnasher,135,A,D,A,Yes,6,12,Greenskin,30,"""After the assault of Tanstra, the troll shamaness who fell from power, the inhabitants of Trollheim required a weapon efficient enough to defend themselves should she attempt to invade again. After studying the anatomy of trolls and other green skins, this hammer was crafted precisely to strike their vitals.""",Using the materials you've gathered you craft together a new weapon!,ForestSeyilCrafts,Barbed Cudgel,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Flesh Equation,Flesh Equation,Crimson Reactant ,Liriumite,,1000,Troll Gnasher,Barbed Cudgel,
Tempered Talons,300,A,D,A,Yes,7,13,,,"""These tempered talons are a lost art in the smithery of Seyil.  Taken from the enraged ventos, they are bathed in naqri and cerussite.  Afterwards, they are tempered for days to form powerful talons that can pierce the strongest alloys.""",Using the materials you've gathered you craft together a new weapon!,ForestSeyilCrafts,Steel Talons,Ironwood Burden,Ironwood Burden,Ironwood Burden,Bone Dust,Bone Dust,Bone Dust,Dragon Essence,Dragon Essence,,Mithril,,1000,Tempered Talons,Steel Talons,
Cold Embrace,263,A,D,A,Yes,6,11,Ice,15,"""Seeming nothing more than a fog of cold air surrounding the wearers hands, the Cold Embraces freezing chill will tear into a foe without ever seeming to give off the slightest hint of cold.""",Using the materials you've gathered you craft together a new weapon!,IceCrafts,Frozen Nails,Water Orb Collective,Water Orb Collective,Water Orb Collective,Crystalline Shard,Crystalline Shard,Crystalline Shard,Dragon Essence,Dragon Essence,Divinus Aqua,Naqri ,,1000,Cold Embrace,Frozen Nails,
Furious Claws,201,A,Druid,A,Yes,6,12,Inanimate,30,"""These brutally sharp curved brass spikes have been mounted inside a bear-skin glove in order to offer comfort to the wearer whilst dealing a deadly amount of damage.""",Using the materials you've gathered you craft together a new weapon!,ElderCrafts,Great Claws,Heap of Husks,Heap of Husks,Heap of Husks,Collapsed Star,Collapsed Star,Collapsed Star,Violent Essence,Violent Essence,Tectonic Shock,Cerussite,,1000,Furious Claws,Great Claws,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Staff,10,A,G,A,Yes,,,,,"""This staff, once used in great battles, is now broken and full of cracks.""",,,,,,,,,,,,,,,,Broken Staff,,
Training Staff,10,A,G,A,Yes,,,,,"""Showing heavy signs of use, this staff is used by novices to hone and refine their skills. So grab the training staff, and become the most powerful monk in these lands! The road is hard, grasshopper, but the reward is worth the trouble!""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Broken Staff,Jug of Greenskin Glue,,,,,,,,,,,50,Training Staff,Broken Staff,
Staff,10,A,G,A,Yes,11,14,,,"""The staff is thick and made of ironwood and is very well-balanced. It is about 5 feet in length.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Training Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,,,,,,,,,,50,Staff,Training Staff,
Composite Staff,278,A,F,A,Yes,11,12,,,"""This strong and durable honeywood staff is twirled up in sauldurine leathers which allow a better grip and more proficient use of this weapon.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Sylvian Lumber,,,,,,,Topaz,,500,Composite Staff,Staff,
Kodachi,300,A,F,A,Yes,11,12,,,"""This weapon is too short to be considered a sword yet too long to be considered a dagger. Forged from an unknown material, the kodachi is extremely light and can wield amazing speeds in battle.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,Wrapped Gems,,,,,,,Emerald,,500,Kodachi,Staff,
Tremor Wakizashi,102,A,F,A,Yes,10,12,Earth,5,"""This earthly toned wakizashi is sensitive to the movement of the earth. It trembles when it senses its motion and uses this ability against its target.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Kodachi,Jug of Greenskin Glue,Jug of Greenskin Glue,Wrapped Gems,Wrapped Gems,Parceled Seed Sprouts,Venomous Kwiksilver,Divinus Terra,,,Amber,,1000,Tremor Wakizashi,Kodachi,
Dusk Wakizashi,104,A,F,A,Yes,10,12,Night,5,"""This exquisite, balanced wakizashi is said to have been forged during many dusks, painting its blade with the sun's dying colors.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Kodachi,Jug of Greenskin Glue,Jug of Greenskin Glue,Wrapped Gems,Wrapped Gems,Gloom Box,Bone Dust,Divinus Nox,,,Pearl,,1000,Dusk Wakizashi,Kodachi,
Flashing Wakizashi,119,A,F,A,Yes,10,12,Storm,5,"""This wakizashi is forged with a fine metal and a rare gleaming yellow tint. The weapon constantly sparks electric discharges and seems to be able to cut and shock simultaneously.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW2,Kodachi,Jug of Greenskin Glue,Jug of Greenskin Glue,Wrapped Gems,Wrapped Gems,Golden Spool,Tormented Spirit,Divinus Tempus,,,Malachite,,1000,Flashing Wakizashi,Kodachi,
Chaotic Staff,192,A,F,A,Yes,10,14,,,"""The staff is made of an unknown material and sends strange waves to the wielders brain, promoting chaotic and destructive thoughts.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Composite Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Dragon Soul Pack,Shroud of Fear,,,,Obsidian,,1000,Chaotic Staff,Composite Staff,
Ember Staff,118,A,F,A,Yes,10,12,Fire,5,"""The magic contained in this flaming staff will prevent its wielder from getting burned. The burning actually occurs when this weapon clashes down on its opponents.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Composite Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Ironwood Burden,Heatwave,Divinus Igneo,,,Garnet,,1000,Ember Staff,Composite Staff,
Frozen Quarterstaff,94,A,F,A,Yes,10,12,Ice,5,"""Surprisingly, wielding this frozen staff will not freeze the wielder. However, upon impact it can create freeze burns or even frostbites.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW2,Composite Staff,Jug of Greenskin Glue,Jug of Greenskin Glue,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Water Orb Collective,Collapsed Star,Divinus Aqua,,,Amber,,1000,Frozen Quarterstaff,Composite Staff,
Glacial Stalactite,94,A,F,A,Yes,11,13,Ice,10,"""No one knows how someone got a hold of this enormous stalactite which was taken from a secluded frozen cavern in the northern lands. This gigantic shaft pierces and freezes the foe, making it part of the stalactite in the process.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Frozen Quarterstaff,,Water Orb Collective,Water Orb Collective,Water Orb Collective,Collapsed Star,Collapsed Star,,Violent Essence,Divinus Aqua,Turquoise,,1000,Glacial Stalactite,Frozen Quarterstaff,
Flaming Quarterstaff,118,A,F,A,Yes,11,13,Fire,10,"""This staff is literally on fire! Arcs of flame are drawn in the air by this quarterstaff when it cuts the air. Many cannot seem to remember the instant between the perceived blaze of light, and the burns on their bodies.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Ember Staff,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Heatwave,Heatwave,,Scarab Hive,Divinus Igneo,Diamond,,1000,Flaming Quarterstaff,Ember Staff,
Staff of Madness,192,A,F,A,Yes,11,15,,,"""Purportedly, this staff is linked to the craziest beings that have crossed the land. Just a mere touch of this cold staff is enough to go enter madness and go completely berserk. It may be hard to resist the urge to destroy everything one's eye can cross with this weapon in hand.""",Using the materials you've gathered you craft together a new weapon!,DonasCraftsW2,Chaotic Staff,,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Shroud of Fear,Shroud of Fear,,Flesh Equation,,Aquamarine,,1000,Staff of Madness,Chaotic Staff,
Blinding Katana,119,A,F,A,Yes,11,13,Storm,10,"""The shining blade of this weapon makes it seem as if it has been forged entirely out of lightning. How this weapon was created is a mystery, though what it is known is that it is electrically charged and the katana itself trembles, waiting to discharge its power upon impact.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW2,Flashing Wakizashi,,Golden Spool,Golden Spool,Golden Spool,Tormented Spirit,Tormented Spirit,,Scarab Hive,Divinus Tempus,Gold Bar,,1000,Blinding Katana,Flashing Wakizashi,
